client_id,client_name,client_segment,client_region,industry_vertical,platform,am_id,tenure_months,contract_type,arr_sek,nps_score_proxy,last_qbr_date,renewal_date,churned
CLT0029,NordGroup Inc,Mid-Market,Southern Europe,Logistics,Sinch Engage,AM006,31,Monthly,428662,7.8,2026-05-22,2026-12-31,False
CLT0030,SmartBank AS,SMB,UK & Ireland,Fintech,Sinch Engage,AM006,10,Annual,69763,7.1,2026-03-25,2026-08-03,False
CLT0031,TechAI Oy,SMB,UK & Ireland,Logistics,MessageMedia,AM010,1,Multi-year,33362,6.1,2026-01-03,2026-12-31,False
CLT0032,CloudLabs Inc,SMB,Nordics,Retail & E-commerce,Sinch Engage,AM001,13,Monthly,105131,5.9,2026-06-04,2027-03-01,True
CLT0033,RapidAI SAS,Enterprise,APAC,Retail & E-commerce,Sinch Core,AM012,39,Multi-year,3446646,6.9,2026-04-13,2026-12-01,False
CLT0034,DigitalLogistics Oy,Enterprise,APAC,Healthcare,MessageMedia,AM012,42,Annual,2351816,9.1,2026-04-27,2026-11-01,False
CLT0035,TechHealth Inc,Mid-Market,DACH,Healthcare,Sinch Engage,AM009,22,Annual,417702,8.1,2026-03-15,2027-03-31,False
CLT0036,FlexLogistics Inc,Mid-Market,DACH,Logistics,Sinch Core,AM013,10,Annual,107164,6.2,2026-02-26,2026-08-03,False
CLT0037,CloudGroup AB,Mid-Market,Southern Europe,Logistics,Sinch Core,AM014,13,Annual,168500,6.2,2026-02-22,2027-05-30,False
CLT0038,CloudGroup Ltd,SMB,Nordics,Healthcare,MailerSend,AM013,15,Monthly,44972,6.4,2026-01-26,2026-12-31,False
CLT0039,SmartConnect SAS,Mid-Market,UK & Ireland,Logistics,MessageMedia,AM006,30,Annual,218142,8.5,2026-05-26,2027-05-30,False
CLT0040,RapidBank BV,SMB,Nordics,Retail & E-commerce,Sinch Engage,AM005,5,Monthly,43745,6.6,2026-05-19,2026-12-31,False
CLT0041,RapidSolutions Inc,Enterprise,Southern Europe,Retail & E-commerce,MailerSend,AM002,42,Monthly,730229,7.9,2026-04-27,2026-12-31,False
CLT0042,CloudPay AS,Enterprise,Southern Europe,Healthcare,MessageMedia,AM006,19,Annual,4514364,7.8,2026-05-19,2027-03-31,False
CLT0043,DigitalGroup Oy,Mid-Market,Nordics,Healthcare,Sinch Engage,AM005,26,Multi-year,389659,6.1,2026-04-17,2026-12-01,True
CLT0044,DigitalLabs GmbH,SMB,UK & Ireland,Retail & E-commerce,Sinch Core,AM002,14,Monthly,58371,7.3,2026-05-22,2026-12-01,False
CLT0045,FastHealth Inc,SMB,LATAM,Gaming & Entertainment,Sinch Engage,AM012,1,Annual,44549,5.8,2026-05-03,2027-01-30,False
CLT0046,FastLogistics AS,Enterprise,UK & Ireland,Healthcare,Sinch Engage,AM002,28,Annual,1752925,6.8,2026-04-26,2027-03-31,False
CLT0047,NordBank AS,Enterprise,North America,Technology & SaaS,Sinch Core,AM011,58,Annual,3298318,8.3,2026-05-20,2027-03-31,False
CLT0048,FlexAI Ltd,Enterprise,APAC,Logistics,MailerSend,AM004,39,Multi-year,575826,7.8,2026-04-19,2027-04-30,False
CLT0049,TechConnect GmbH,SMB,APAC,Retail & E-commerce,MailerSend,AM008,9,Monthly,99592,6.8,2026-01-04,2026-11-01,False
CLT0050,FlexConnect Oy,Mid-Market,LATAM,Retail & E-commerce,MailerSend,AM004,20,Annual,438641,8.1,2026-04-24,2026-09-02,False
CLT0051,CloudConnect BV,Mid-Market,North America,Gaming & Entertainment,Sinch Core,AM003,28,Annual,208117,8.4,2026-04-13,2027-01-30,False
CLT0052,OpenBank BV,Mid-Market,LATAM,Logistics,MessageMedia,AM008,6,Annual,141346,7.0,2026-04-26,2027-04-30,False
CLT0053,PrimeConnect Oy,Mid-Market,APAC,Healthcare,MessageMedia,AM008,23,Annual,328114,7.0,2026-05-06,2026-08-03,False
CLT0054,CloudSystems SAS,Mid-Market,LATAM,Fintech,Sinch Engage,AM012,28,Annual,275899,7.0,2026-03-04,2027-03-31,False
CLT0055,NordPay SAS,SMB,UK & Ireland,Technology & SaaS,Sinch Engage,AM002,8,Monthly,87491,4.2,2026-05-03,2026-11-01,False
CLT0056,NordRetail BV,Enterprise,LATAM,Logistics,Sinch Core,AM008,49,Multi-year,1292538,8.6,2026-04-22,2026-09-02,False
CLT0057,CloudLogistics Inc,Enterprise,Southern Europe,Fintech,Sinch Engage,AM010,22,Multi-year,1329587,8.2,2026-05-04,2026-08-03,False
CLT0058,DigitalLabs Inc,Mid-Market,Southern Europe,Gaming & Entertainment,MailerSend,AM002,15,Annual,347272,6.9,2026-03-02,2026-08-03,False
CLT0059,SmartPay Inc,Enterprise,DACH,Retail & E-commerce,Sinch Engage,AM013,29,Multi-year,1242657,7.2,2026-03-20,2027-01-30,False
CLT0060,RapidHealth Inc,Mid-Market,LATAM,Retail & E-commerce,Sinch Engage,AM012,20,Annual,151049,8.3,2026-02-22,2026-10-02,False
CLT0061,FlexHealth BV,SMB,LATAM,Logistics,Sinch Core,AM008,5,Monthly,27891,6.3,2026-01-10,2026-11-01,False
CLT0062,TechSystems SAS,SMB,UK & Ireland,Logistics,MailerSend,AM002,17,Monthly,86237,5.1,2026-02-14,2027-05-30,False
CLT0063,SmartCommerce AS,Enterprise,APAC,Fintech,MessageMedia,AM004,54,Multi-year,943634,8.5,2026-03-13,2027-01-30,False
CLT0064,TechLogistics BV,Mid-Market,Nordics,Logistics,MailerSend,AM009,21,Annual,268309,6.8,2026-02-15,2026-09-02,False
CLT0065,CloudPay BV,SMB,LATAM,Retail & E-commerce,MailerSend,AM008,18,Annual,27289,6.9,2026-05-06,2026-12-31,True
CLT0066,FlexAI BV,Enterprise,UK & Ireland,Retail & E-commerce,MailerSend,AM006,57,Multi-year,5149829,8.2,2026-05-19,2026-11-01,False
CLT0067,FlexHealth Ltd,SMB,North America,Fintech,MessageMedia,AM011,8,Annual,57061,6.6,2026-04-08,2026-08-03,True
CLT0068,RapidConnect Ltd,Mid-Market,North America,Healthcare,MailerSend,AM007,28,Annual,292023,7.3,2026-03-26,2026-09-02,False
CLT0069,FastGroup Ltd,Enterprise,LATAM,Technology & SaaS,MessageMedia,AM008,44,Annual,4356404,7.6,2026-03-21,2027-03-31,False
CLT0070,OpenLogistics Inc,Mid-Market,UK & Ireland,Retail & E-commerce,MailerSend,AM010,23,Monthly,549960,7.8,2026-03-07,2026-10-02,False
CLT0071,CloudSystems Oy,Mid-Market,UK & Ireland,Technology & SaaS,MailerSend,AM006,29,Annual,452367,8.4,2026-05-31,2026-09-02,False
CLT0072,EuroGroup SAS,SMB,Southern Europe,Technology & SaaS,MailerSend,AM006,4,Annual,115618,7.4,2025-12-19,2026-09-02,False
CLT0073,NordSystems GmbH,SMB,APAC,Retail & E-commerce,MailerSend,AM012,3,Monthly,69371,5.9,2026-01-31,2027-03-01,True
CLT0074,NordPay Oy,SMB,UK & Ireland,Retail & E-commerce,MailerSend,AM002,8,Annual,35030,7.1,2025-12-09,2026-11-01,False
CLT0075,RapidSystems Inc,Mid-Market,UK & Ireland,Gaming & Entertainment,Sinch Engage,AM006,19,Multi-year,149872,8.5,2026-05-25,2027-03-31,True
CLT0076,SmartLabs Ltd,Mid-Market,DACH,Healthcare,MessageMedia,AM009,20,Annual,521334,7.8,2026-02-09,2027-01-30,True
CLT0077,EuroConnect AS,SMB,North America,Fintech,MessageMedia,AM007,10,Annual,105861,6.9,2026-02-26,2027-01-30,False
CLT0078,NordSystems BV,Mid-Market,APAC,Healthcare,MailerSend,AM004,15,Annual,133802,6.1,2026-03-09,2027-05-30,False
CLT0079,PrimeLabs Ltd,SMB,LATAM,Gaming & Entertainment,MessageMedia,AM012,8,Annual,84633,6.8,2026-04-01,2027-04-30,False
CLT0080,SmartBank AS,SMB,APAC,Logistics,MailerSend,AM012,2,Annual,57467,6.1,2026-05-02,2026-08-03,True
CLT0081,PrimeBank GmbH,Enterprise,North America,Fintech,MessageMedia,AM007,41,Monthly,6934356,7.9,2026-04-04,2026-11-01,False
CLT0082,FlexBank SAS,Enterprise,LATAM,Healthcare,MessageMedia,AM008,32,Multi-year,4600474,8.5,2026-03-28,2026-08-03,False
CLT0083,EuroLabs BV,SMB,UK & Ireland,Healthcare,MailerSend,AM010,4,Monthly,60776,7.4,2026-04-09,2027-04-30,False
CLT0084,DigitalSolutions Ltd,Mid-Market,Southern Europe,Technology & SaaS,Sinch Core,AM010,9,Monthly,225267,9.0,2026-05-21,2026-08-03,False
CLT0085,OpenLogistics SAS,Mid-Market,APAC,Retail & E-commerce,MailerSend,AM008,28,Annual,421537,6.1,2026-02-18,2027-01-30,False
CLT0086,NordLogistics SAS,Mid-Market,Southern Europe,Fintech,MessageMedia,AM010,20,Annual,313307,8.1,2026-03-14,2026-12-01,False
CLT0087,OpenConnect GmbH,Enterprise,LATAM,Fintech,Sinch Engage,AM004,47,Annual,1776616,8.8,2026-05-04,2026-09-02,False
CLT0088,CloudRetail Ltd,SMB,North America,Gaming & Entertainment,MessageMedia,AM011,7,Multi-year,42958,7.3,2026-04-28,2026-09-02,True
CLT0089,PrimeLogistics GmbH,SMB,DACH,Fintech,Sinch Engage,AM001,1,Annual,93737,6.4,2026-05-22,2026-09-02,True
CLT0090,PrimeLabs SAS,Mid-Market,LATAM,Logistics,Sinch Core,AM012,17,Annual,350629,7.8,2026-03-18,2026-07-04,True
CLT0091,EuroBank Ltd,SMB,Nordics,Healthcare,MailerSend,AM013,16,Monthly,87168,6.6,2026-02-11,2026-08-03,True
CLT0092,PrimeHealth Inc,Enterprise,APAC,Fintech,MailerSend,AM008,55,Annual,4518994,7.4,2026-04-10,2026-08-03,False
CLT0093,SmartBank Ltd,SMB,Southern Europe,Retail & E-commerce,MailerSend,AM002,11,Annual,87385,7.0,2026-03-16,2027-04-30,False
CLT0094,CloudPay Oy,Mid-Market,Nordics,Logistics,Sinch Core,AM001,32,Annual,137517,6.6,2026-04-18,2026-09-02,False
CLT0095,OpenSolutions Inc,Mid-Market,LATAM,Logistics,MailerSend,AM008,27,Annual,468696,7.9,2026-04-20,2026-08-03,False
CLT0096,CloudSystems AB,Mid-Market,LATAM,Fintech,MessageMedia,AM008,9,Annual,396984,8.0,2026-02-21,2026-12-31,False
CLT0097,NordCommerce Ltd,SMB,APAC,Logistics,Sinch Engage,AM012,9,Monthly,22604,5.7,2026-03-10,2026-12-01,False
CLT0098,GlobalBank SAS,Mid-Market,DACH,Healthcare,Sinch Core,AM005,29,Annual,518356,7.4,2026-04-07,2026-12-01,False
CLT0099,EuroRetail BV,SMB,North America,Logistics,Sinch Core,AM003,20,Monthly,29578,7.2,2026-05-23,2027-04-30,False
CLT0100,FastSystems BV,Mid-Market,Southern Europe,Logistics,Sinch Engage,AM010,19,Annual,231057,6.9,2026-04-29,2027-04-30,False
CLT0101,SmartRetail Oy,Mid-Market,DACH,Healthcare,Sinch Core,AM005,18,Annual,497061,9.3,2026-05-08,2026-09-02,False
CLT0102,NordLogistics AB,Mid-Market,Southern Europe,Fintech,MailerSend,AM010,11,Multi-year,234821,7.1,2026-02-14,2027-05-30,False
CLT0103,GlobalSystems BV,Enterprise,UK & Ireland,Healthcare,MailerSend,AM010,54,Multi-year,4921316,7.6,2026-06-02,2026-12-01,False
CLT0104,PrimeBank Inc,SMB,Nordics,Gaming & Entertainment,Sinch Engage,AM013,14,Monthly,28793,7.2,2026-02-23,2026-11-01,True
CLT0105,DigitalHealth Ltd,Enterprise,North America,Retail & E-commerce,Sinch Engage,AM007,58,Annual,1602176,8.4,2026-03-14,2026-09-02,False
CLT0106,FastSystems Oy,Enterprise,DACH,Retail & E-commerce,Sinch Engage,AM013,59,Annual,1245319,9.1,2026-03-22,2027-01-30,False
CLT0107,TechSolutions GmbH,Mid-Market,DACH,Technology & SaaS,MailerSend,AM009,20,Monthly,176541,6.8,2026-03-21,2026-07-04,False
CLT0108,NordGroup Inc,Mid-Market,Nordics,Retail & E-commerce,Sinch Core,AM013,17,Annual,275562,7.7,2026-03-26,2027-05-30,False
CLT0109,FastCommerce AB,Mid-Market,DACH,Retail & E-commerce,MailerSend,AM009,36,Monthly,145682,6.7,2026-05-25,2027-03-01,False
CLT0110,TechLabs AB,Mid-Market,Southern Europe,Retail & E-commerce,Sinch Engage,AM010,22,Monthly,411477,6.8,2026-04-16,2026-12-31,False
CLT0111,GlobalBank GmbH,SMB,Nordics,Gaming & Entertainment,MailerSend,AM009,11,Monthly,27528,6.9,2025-12-18,2027-03-31,False
CLT0112,GlobalLabs GmbH,Enterprise,UK & Ireland,Healthcare,Sinch Engage,AM010,37,Annual,4545577,9.5,2026-03-14,2026-12-01,False
CLT0113,DigitalConnect Ltd,Mid-Market,UK & Ireland,Logistics,MessageMedia,AM006,6,Annual,275599,7.7,2026-02-26,2027-01-30,False
CLT0114,GlobalCommerce Ltd,Enterprise,LATAM,Fintech,Sinch Core,AM012,24,Multi-year,6662332,7.9,2026-04-17,2026-09-02,False
CLT0115,DigitalBank BV,Enterprise,UK & Ireland,Logistics,MessageMedia,AM006,33,Annual,4014897,7.3,2026-04-26,2027-01-30,False
CLT0116,NordLabs BV,Enterprise,Southern Europe,Healthcare,MailerSend,AM006,50,Annual,5909583,9.4,2026-05-18,2026-11-01,False
CLT0117,CloudCommerce AS,Mid-Market,Nordics,Technology & SaaS,Sinch Core,AM001,28,Monthly,481630,7.5,2026-05-01,2027-01-30,False
CLT0118,RapidHealth Oy,SMB,LATAM,Fintech,Sinch Core,AM004,15,Annual,92148,6.7,2026-03-01,2026-10-02,False
CLT0119,PrimeCommerce BV,Mid-Market,Nordics,Retail & E-commerce,MessageMedia,AM005,32,Multi-year,522181,8.5,2026-02-07,2027-01-30,False
CLT0120,SmartHealth AB,Enterprise,Nordics,Retail & E-commerce,Sinch Engage,AM013,19,Multi-year,2911529,7.8,2026-04-29,2026-10-02,False
CLT0121,OpenConnect Ltd,Mid-Market,North America,Retail & E-commerce,Sinch Core,AM011,20,Annual,146221,7.3,2026-03-16,2027-03-01,False
CLT0122,CloudSolutions AB,Enterprise,UK & Ireland,Retail & E-commerce,Sinch Engage,AM010,33,Multi-year,4393864,8.2,2026-03-29,2027-03-01,False
CLT0123,PrimeLabs GmbH,Mid-Market,APAC,Retail & E-commerce,MessageMedia,AM008,18,Monthly,325288,7.2,2026-04-21,2026-10-02,False
CLT0124,PrimeGroup Ltd,SMB,UK & Ireland,Gaming & Entertainment,MessageMedia,AM006,5,Monthly,21939,5.6,2025-12-11,2027-01-30,True
CLT0125,SmartSolutions AS,Enterprise,LATAM,Gaming & Entertainment,MessageMedia,AM004,47,Annual,688705,6.9,2026-05-30,2026-12-01,False
CLT0126,TechRetail GmbH,Mid-Market,UK & Ireland,Technology & SaaS,Sinch Engage,AM010,7,Monthly,643423,7.2,2026-05-29,2027-04-30,False
CLT0127,CloudRetail GmbH,Mid-Market,Southern Europe,Gaming & Entertainment,MailerSend,AM006,29,Annual,280965,6.6,2026-04-02,2026-12-01,True
CLT0128,FlexSystems AS,Enterprise,North America,Logistics,MessageMedia,AM003,29,Multi-year,2816076,7.7,2026-04-28,2026-11-01,False
CLT0129,EuroLabs AS,Mid-Market,Southern Europe,Fintech,MessageMedia,AM010,7,Annual,673484,7.4,2026-02-23,2026-07-04,False
CLT0130,TechBank AS,SMB,APAC,Retail & E-commerce,Sinch Engage,AM004,6,Annual,26489,5.3,2026-04-05,2027-04-30,True
CLT0131,RapidBank SAS,Enterprise,DACH,Technology & SaaS,MessageMedia,AM001,46,Annual,4695437,10.0,2026-03-29,2026-12-01,False
CLT0132,DigitalSystems SAS,Enterprise,APAC,Retail & E-commerce,MailerSend,AM008,29,Annual,5154912,9.5,2026-03-06,2027-01-30,False
CLT0133,FastBank Oy,SMB,DACH,Logistics,Sinch Core,AM005,4,Monthly,35900,6.3,2026-02-11,2026-08-03,False
CLT0134,GlobalConnect BV,Mid-Market,UK & Ireland,Logistics,Sinch Engage,AM010,34,Annual,244399,7.7,2026-05-20,2026-10-02,False
CLT0135,FlexSolutions AS,Mid-Market,UK & Ireland,Fintech,Sinch Engage,AM002,20,Annual,544909,6.8,2026-03-05,2027-05-30,False
CLT0136,CloudLabs Ltd,SMB,Nordics,Gaming & Entertainment,Sinch Core,AM013,5,Monthly,52320,4.9,2026-03-08,2026-09-02,True
CLT0137,TechSolutions SAS,Enterprise,North America,Gaming & Entertainment,Sinch Engage,AM003,21,Multi-year,1310307,7.2,2026-03-06,2026-10-02,True
CLT0138,CloudLabs Ltd,Mid-Market,APAC,Gaming & Entertainment,MessageMedia,AM012,36,Annual,330479,8.7,2026-03-28,2026-08-03,False
CLT0139,SmartLabs Inc,Mid-Market,DACH,Healthcare,MessageMedia,AM001,27,Multi-year,512887,7.5,2026-03-14,2027-03-31,False
CLT0140,RapidRetail BV,Mid-Market,APAC,Gaming & Entertainment,MessageMedia,AM008,6,Annual,306947,5.6,2026-02-21,2027-04-30,False
CLT0141,TechAI Oy,Enterprise,Southern Europe,Fintech,MailerSend,AM010,44,Annual,6387068,8.5,2026-04-25,2027-05-30,False
CLT0142,GlobalHealth AB,Enterprise,UK & Ireland,Technology & SaaS,MessageMedia,AM014,50,Multi-year,1807955,9.7,2026-04-08,2026-10-02,False
CLT0143,FlexSolutions BV,Mid-Market,North America,Retail & E-commerce,Sinch Engage,AM011,19,Annual,253181,6.5,2026-05-11,2026-09-02,False
CLT0144,SmartGroup BV,Mid-Market,Nordics,Healthcare,MailerSend,AM005,8,Annual,367406,5.9,2026-05-29,2026-07-04,False
CLT0145,OpenSolutions Inc,Enterprise,Nordics,Retail & E-commerce,MessageMedia,AM013,45,Multi-year,1785879,8.1,2026-04-14,2026-07-04,True
CLT0146,TechSolutions Oy,Mid-Market,Southern Europe,Retail & E-commerce,MessageMedia,AM006,22,Monthly,369726,8.7,2026-04-15,2026-12-01,True
CLT0147,CloudGroup Ltd,Mid-Market,North America,Gaming & Entertainment,Sinch Core,AM003,18,Multi-year,307856,6.1,2026-04-23,2027-01-30,False
CLT0148,OpenBank BV,Mid-Market,UK & Ireland,Logistics,MessageMedia,AM014,35,Monthly,400352,7.3,2026-03-02,2026-11-01,False
CLT0149,PrimeLabs AB,Mid-Market,LATAM,Logistics,MessageMedia,AM008,6,Annual,278468,8.1,2026-02-23,2027-05-30,False
CLT0150,GlobalLabs Inc,Enterprise,APAC,Healthcare,Sinch Core,AM004,55,Annual,2890524,9.5,2026-03-17,2026-12-31,False
CLT0151,RapidSolutions BV,SMB,Nordics,Fintech,MailerSend,AM013,7,Annual,31474,6.4,2025-12-10,2026-10-02,False
CLT0152,FlexSolutions Oy,Mid-Market,Nordics,Technology & SaaS,Sinch Engage,AM013,28,Annual,224112,9.1,2026-04-25,2026-09-02,False
CLT0153,SmartConnect SAS,Mid-Market,LATAM,Healthcare,MessageMedia,AM004,29,Monthly,548287,7.1,2026-04-30,2027-03-01,False
CLT0154,EuroSystems AS,SMB,APAC,Gaming & Entertainment,MessageMedia,AM008,23,Monthly,71479,6.6,2026-03-26,2026-11-01,False
CLT0155,FlexLabs SAS,Mid-Market,UK & Ireland,Technology & SaaS,MessageMedia,AM010,36,Monthly,229833,5.9,2026-05-25,2026-12-01,False
CLT0156,DigitalPay Inc,Mid-Market,LATAM,Logistics,MessageMedia,AM004,23,Annual,230043,8.2,2026-03-21,2026-10-02,False
CLT0157,FastGroup BV,Enterprise,Southern Europe,Logistics,Sinch Core,AM002,39,Monthly,4239670,8.7,2026-05-15,2026-12-31,False
CLT0158,RapidCommerce AB,SMB,UK & Ireland,Logistics,Sinch Core,AM006,11,Monthly,54538,6.4,2026-05-26,2026-09-02,False
CLT0159,TechRetail BV,Mid-Market,Southern Europe,Technology & SaaS,MessageMedia,AM002,11,Annual,640500,6.6,2026-03-19,2026-08-03,False
CLT0160,PrimeGroup SAS,Mid-Market,Southern Europe,Technology & SaaS,MailerSend,AM006,34,Monthly,221466,7.5,2026-04-23,2026-09-02,False
CLT0161,FastHealth Ltd,Enterprise,UK & Ireland,Logistics,Sinch Engage,AM014,36,Annual,2014336,7.6,2026-05-24,2026-12-31,False
CLT0162,OpenAI AB,Mid-Market,DACH,Technology & SaaS,MailerSend,AM013,6,Monthly,307743,6.6,2026-04-23,2026-11-01,False
CLT0163,PrimeRetail GmbH,Mid-Market,DACH,Retail & E-commerce,Sinch Core,AM009,7,Multi-year,495123,7.2,2026-03-09,2027-03-01,False
CLT0164,RapidAI BV,SMB,UK & Ireland,Logistics,Sinch Engage,AM014,20,Annual,46499,7.0,2025-12-31,2026-12-01,False
CLT0165,EuroPay Inc,SMB,LATAM,Gaming & Entertainment,Sinch Core,AM012,7,Monthly,44569,6.8,2026-05-16,2027-03-31,False
CLT0166,NordGroup Ltd,Enterprise,UK & Ireland,Healthcare,Sinch Core,AM014,51,Multi-year,5047712,7.8,2026-03-31,2027-01-30,False
CLT0167,DigitalSystems GmbH,Mid-Market,Nordics,Healthcare,MessageMedia,AM013,23,Annual,410902,5.8,2026-06-04,2027-05-30,False
CLT0168,FastAI AS,Enterprise,Nordics,Fintech,Sinch Core,AM001,52,Multi-year,1407644,7.4,2026-05-12,2026-09-02,False
CLT0169,CloudCommerce Inc,SMB,Southern Europe,Retail & E-commerce,Sinch Core,AM010,13,Annual,76159,7.7,2026-01-18,2026-12-31,False
CLT0170,SmartConnect GmbH,SMB,UK & Ireland,Gaming & Entertainment,MailerSend,AM006,15,Annual,77656,6.1,2026-03-08,2026-09-02,False
CLT0171,OpenLabs AB,Mid-Market,North America,Fintech,Sinch Engage,AM003,30,Multi-year,151482,7.3,2026-05-31,2027-01-30,False
CLT0172,OpenSystems Oy,Enterprise,Southern Europe,Retail & E-commerce,Sinch Core,AM010,32,Multi-year,2554844,8.8,2026-03-23,2026-12-01,False
CLT0173,GlobalLabs AS,SMB,APAC,Retail & E-commerce,MailerSend,AM008,17,Annual,53869,6.3,2026-01-04,2027-05-30,False
CLT0174,CloudGroup Inc,Enterprise,UK & Ireland,Healthcare,MessageMedia,AM014,59,Multi-year,4436827,9.2,2026-04-17,2026-09-02,True
CLT0175,DigitalRetail Inc,Mid-Market,APAC,Gaming & Entertainment,Sinch Core,AM008,10,Annual,291344,6.7,2026-05-18,2026-12-31,False
CLT0176,NordHealth Inc,Enterprise,Southern Europe,Retail & E-commerce,Sinch Engage,AM010,41,Multi-year,1403208,7.7,2026-03-19,2027-03-31,False
CLT0177,DigitalAI GmbH,SMB,APAC,Gaming & Entertainment,MailerSend,AM008,18,Annual,41177,8.0,2026-06-01,2026-10-02,False
CLT0178,FlexSolutions Oy,SMB,DACH,Logistics,Sinch Engage,AM005,23,Monthly,94259,7.4,2026-03-24,2026-12-31,False
CLT0179,OpenConnect Ltd,Mid-Market,Southern Europe,Retail & E-commerce,MailerSend,AM006,20,Annual,166868,8.1,2026-04-13,2026-07-04,False
CLT0180,OpenConnect BV,Mid-Market,North America,Fintech,MailerSend,AM003,24,Multi-year,668490,6.2,2026-05-06,2026-12-31,False
CLT0181,GlobalAI BV,SMB,UK & Ireland,Healthcare,MailerSend,AM006,9,Monthly,100852,5.8,2026-03-06,2026-09-02,False
CLT0182,GlobalLabs Inc,SMB,APAC,Fintech,Sinch Core,AM012,2,Multi-year,124143,6.2,2026-06-03,2026-12-31,False
