client_id,platform,product_line,product_hierarchy,destination_country,adoption_date,is_active
CLT0017,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Mexico,2023-09-07,True
CLT0017,Sinch Engage,Verification,Data Verification,Mexico,2023-08-05,True
CLT0017,Sinch Engage,Voice,Voice API,Brazil,2023-09-03,True
CLT0018,Sinch Core,WhatsApp Business,WhatsApp Business Platform,France,2024-11-25,True
CLT0019,Sinch Core,Email,Email API,Sweden,2025-05-25,False
CLT0019,Sinch Core,SMS,SMS API,Denmark,2025-06-19,False
CLT0020,MessageMedia,WhatsApp Business,WhatsApp Business Platform,Sweden,2021-11-20,True
CLT0020,MessageMedia,Verification,Flash Call Verification,Finland,2021-09-29,True
CLT0020,MessageMedia,SMS,A2P SMS,Finland,2021-09-28,True
CLT0021,Sinch Core,Verification,Data Verification,Denmark,2023-08-04,True
CLT0021,Sinch Core,Voice,SIP Trunking,Denmark,2023-07-23,True
CLT0021,Sinch Core,SMS,SMS API,Norway,2023-08-07,True
CLT0021,Sinch Core,Email,Email API,Finland,2023-08-03,True
CLT0022,MessageMedia,Voice,Voice API,Australia,2023-04-13,True
CLT0022,MessageMedia,Email,Marketing Email,India,2023-04-20,True
CLT0022,MessageMedia,Verification,Data Verification,Japan,2023-02-27,True
CLT0022,MessageMedia,SMS,P2P SMS,Australia,2023-03-30,True
CLT0023,Sinch Engage,Verification,Data Verification,Norway,2026-01-24,True
CLT0023,Sinch Engage,SMS,SMS API,Norway,2026-02-01,True
CLT0024,Sinch Core,Voice,Contact Center Voice,Ireland,2024-03-22,True
CLT0024,Sinch Core,WhatsApp Business,WhatsApp API,Ireland,2024-04-13,True
CLT0024,Sinch Core,SMS,A2P SMS,Ireland,2024-04-14,True
CLT0025,MessageMedia,Email,Email API,India,2025-01-17,False
CLT0025,MessageMedia,SMS,A2P SMS,India,2024-12-26,False
CLT0025,MessageMedia,WhatsApp Business,WhatsApp Business Platform,Singapore,2025-01-16,False
CLT0026,Sinch Engage,SMS,P2P SMS,United Kingdom,2024-03-18,True
CLT0026,Sinch Engage,Voice,Voice API,Ireland,2024-02-29,True
CLT0027,Sinch Core,SMS,P2P SMS,Switzerland,2025-03-31,True
CLT0027,Sinch Core,Email,Marketing Email,Austria,2025-02-23,True
CLT0027,Sinch Core,Verification,2FA SMS,Switzerland,2025-02-16,True
CLT0028,Sinch Engage,Voice,SIP Trunking,Canada,2023-07-20,True
CLT0028,Sinch Engage,WhatsApp Business,WhatsApp API,Canada,2023-06-21,True
CLT0028,Sinch Engage,Verification,2FA SMS,Canada,2023-08-19,True
CLT0028,Sinch Engage,SMS,SMS API,Canada,2023-06-22,True
CLT0029,Sinch Engage,SMS,SMS API,Italy,2023-10-12,True
CLT0029,Sinch Engage,Verification,2FA SMS,Portugal,2023-11-06,True
CLT0029,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Portugal,2023-10-13,True
CLT0030,Sinch Engage,Verification,Data Verification,Ireland,2025-07-20,True
CLT0031,MessageMedia,SMS,A2P SMS,United Kingdom,2026-05-04,True
CLT0031,MessageMedia,Voice,Voice API,Ireland,2026-04-19,True
CLT0032,Sinch Engage,SMS,A2P SMS,Denmark,2025-03-30,False
CLT0032,Sinch Engage,Email,Marketing Email,Finland,2025-04-29,False
CLT0032,Sinch Engage,WhatsApp Business,WhatsApp API,Sweden,2025-05-09,False
CLT0033,Sinch Core,WhatsApp Business,WhatsApp Business Platform,India,2023-02-14,True
CLT0033,Sinch Core,Email,Marketing Email,India,2023-02-10,True
CLT0033,Sinch Core,SMS,SMS API,Australia,2023-01-29,True
CLT0033,Sinch Core,Voice,SIP Trunking,Australia,2023-02-18,True
CLT0034,MessageMedia,WhatsApp Business,WhatsApp API,India,2022-12-02,True
CLT0034,MessageMedia,SMS,SMS API,Singapore,2022-12-14,True
CLT0034,MessageMedia,Voice,Voice API,Singapore,2022-12-19,True
CLT0034,MessageMedia,Verification,Flash Call Verification,Singapore,2022-11-26,True
CLT0035,Sinch Engage,SMS,SMS API,Germany,2024-07-04,True
CLT0035,Sinch Engage,Voice,Contact Center Voice,Switzerland,2024-08-01,True
CLT0036,Sinch Core,Voice,Contact Center Voice,Germany,2025-06-21,True
CLT0036,Sinch Core,SMS,SMS API,Austria,2025-07-19,True
CLT0037,Sinch Core,SMS,SMS API,France,2025-03-27,True
CLT0037,Sinch Core,WhatsApp Business,WhatsApp API,France,2025-04-06,True
CLT0037,Sinch Core,Voice,Voice API,Italy,2025-05-10,True
CLT0038,MailerSend,SMS,P2P SMS,Denmark,2025-02-13,True
CLT0038,MailerSend,Voice,Voice API,Norway,2025-03-05,True
CLT0038,MailerSend,Verification,2FA SMS,Norway,2025-02-07,True
CLT0039,MessageMedia,Verification,2FA SMS,United Kingdom,2023-12-10,True
CLT0039,MessageMedia,WhatsApp Business,WhatsApp API,Ireland,2023-11-17,True
CLT0040,Sinch Engage,SMS,A2P SMS,Finland,2025-11-14,True
CLT0040,Sinch Engage,Email,Email API,Denmark,2025-12-03,True
CLT0041,MailerSend,Email,Transactional Email,Italy,2022-12-14,True
CLT0041,MailerSend,Voice,Contact Center Voice,France,2022-12-08,True
CLT0041,MailerSend,SMS,A2P SMS,Italy,2022-12-09,True
CLT0042,MessageMedia,Voice,Voice API,Portugal,2024-11-10,True
CLT0042,MessageMedia,SMS,P2P SMS,Italy,2024-11-09,True
CLT0043,Sinch Engage,Verification,Flash Call Verification,Denmark,2024-04-08,False
CLT0043,Sinch Engage,WhatsApp Business,WhatsApp API,Denmark,2024-04-11,False
CLT0044,Sinch Core,Email,Transactional Email,United Kingdom,2025-02-11,True
CLT0044,Sinch Core,WhatsApp Business,WhatsApp API,Ireland,2025-03-30,True
CLT0044,Sinch Core,SMS,A2P SMS,United Kingdom,2025-04-05,True
CLT0045,Sinch Engage,SMS,SMS API,Colombia,2026-04-13,True
CLT0045,Sinch Engage,Verification,2FA SMS,Mexico,2026-03-12,True
CLT0046,Sinch Engage,Verification,Data Verification,United Kingdom,2024-02-02,True
CLT0046,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,United Kingdom,2024-02-05,True
CLT0047,Sinch Core,SMS,P2P SMS,United States,2021-07-16,True
CLT0047,Sinch Core,Voice,SIP Trunking,United States,2021-07-17,True
CLT0048,MailerSend,SMS,A2P SMS,Japan,2023-02-18,True
CLT0048,MailerSend,Verification,Flash Call Verification,Singapore,2023-03-15,True
CLT0048,MailerSend,Voice,Voice API,Australia,2023-02-21,True
CLT0049,MailerSend,Email,Marketing Email,Singapore,2025-07-21,True
CLT0049,MailerSend,SMS,SMS API,Australia,2025-08-20,True
CLT0050,MailerSend,SMS,A2P SMS,Colombia,2024-09-18,True
CLT0050,MailerSend,WhatsApp Business,WhatsApp Business Platform,Colombia,2024-09-04,True
CLT0051,Sinch Core,Email,Marketing Email,Canada,2023-12-23,True
CLT0051,Sinch Core,Verification,2FA SMS,United States,2023-12-23,True
CLT0051,Sinch Core,SMS,P2P SMS,Canada,2023-12-17,True
CLT0051,Sinch Core,Voice,Voice API,Canada,2024-02-15,True
CLT0052,MessageMedia,Voice,SIP Trunking,Brazil,2025-11-08,True
CLT0052,MessageMedia,SMS,A2P SMS,Argentina,2025-11-27,True
CLT0053,MessageMedia,Verification,Data Verification,Japan,2024-05-16,True
CLT0053,MessageMedia,SMS,A2P SMS,Japan,2024-06-21,True
CLT0053,MessageMedia,Voice,SIP Trunking,India,2024-07-02,True
CLT0054,Sinch Engage,Verification,Flash Call Verification,Colombia,2023-12-29,True
CLT0054,Sinch Engage,Voice,Contact Center Voice,Argentina,2023-12-17,True
CLT0055,Sinch Engage,SMS,SMS API,Ireland,2025-08-30,True
CLT0055,Sinch Engage,Email,Marketing Email,Ireland,2025-09-05,True
CLT0056,Sinch Core,Voice,SIP Trunking,Argentina,2022-04-25,True
CLT0056,Sinch Core,WhatsApp Business,WhatsApp API,Mexico,2022-04-16,True
CLT0056,Sinch Core,SMS,A2P SMS,Brazil,2022-05-20,True
CLT0057,Sinch Engage,Voice,Voice API,France,2024-07-20,True
CLT0057,Sinch Engage,Verification,2FA SMS,Spain,2024-07-25,True
CLT0058,MailerSend,SMS,P2P SMS,France,2025-02-27,True
CLT0058,MailerSend,Verification,Data Verification,Portugal,2025-02-08,True
CLT0059,Sinch Engage,Email,Transactional Email,Germany,2023-12-20,True
CLT0059,Sinch Engage,SMS,P2P SMS,Austria,2023-12-19,True
CLT0059,Sinch Engage,Voice,SIP Trunking,Austria,2023-12-19,True
CLT0059,Sinch Engage,WhatsApp Business,WhatsApp API,Germany,2024-01-14,True
CLT0060,Sinch Engage,SMS,SMS API,Argentina,2024-10-02,True
CLT0060,Sinch Engage,Email,Marketing Email,Colombia,2024-10-04,True
CLT0060,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Brazil,2024-09-11,True
CLT0061,Sinch Core,SMS,SMS API,Argentina,2025-12-01,True
CLT0061,Sinch Core,Voice,SIP Trunking,Mexico,2025-12-01,True
CLT0062,MailerSend,WhatsApp Business,WhatsApp Business Platform,Ireland,2024-12-10,True
CLT0062,MailerSend,Voice,Contact Center Voice,Ireland,2024-11-28,True
CLT0062,MailerSend,SMS,P2P SMS,United Kingdom,2024-12-21,True
CLT0063,MessageMedia,Voice,SIP Trunking,Australia,2021-11-06,True
CLT0063,MessageMedia,SMS,SMS API,India,2021-12-06,True
CLT0064,MailerSend,SMS,P2P SMS,Denmark,2024-08-17,True
CLT0064,MailerSend,WhatsApp Business,WhatsApp API,Norway,2024-08-01,True
CLT0065,MailerSend,WhatsApp Business,WhatsApp API,Brazil,2024-10-14,False
CLT0066,MailerSend,WhatsApp Business,WhatsApp API,Ireland,2021-08-25,True
CLT0066,MailerSend,Voice,Voice API,Ireland,2021-08-30,True
CLT0066,MailerSend,Email,Email API,Ireland,2021-08-27,True
CLT0066,MailerSend,SMS,P2P SMS,Ireland,2021-09-27,True
CLT0067,MessageMedia,SMS,P2P SMS,Canada,2025-09-13,False
CLT0067,MessageMedia,Verification,Flash Call Verification,United States,2025-09-01,False
CLT0068,MailerSend,Verification,Flash Call Verification,Canada,2024-01-15,True
CLT0068,MailerSend,WhatsApp Business,WhatsApp API,Canada,2024-01-07,True
CLT0068,MailerSend,Voice,SIP Trunking,United States,2024-01-19,True
CLT0069,MessageMedia,Email,Marketing Email,Brazil,2022-10-07,True
CLT0069,MessageMedia,Voice,SIP Trunking,Argentina,2022-09-17,True
CLT0069,MessageMedia,Verification,2FA SMS,Brazil,2022-09-14,True
CLT0069,MessageMedia,SMS,SMS API,Brazil,2022-08-30,True
CLT0070,MailerSend,SMS,A2P SMS,Ireland,2024-06-08,True
CLT0070,MailerSend,WhatsApp Business,WhatsApp Business Platform,Ireland,2024-07-01,True
CLT0070,MailerSend,Email,Transactional Email,Ireland,2024-06-03,True
CLT0071,MailerSend,SMS,A2P SMS,Ireland,2023-12-21,True
CLT0071,MailerSend,Voice,SIP Trunking,Ireland,2023-12-08,True
CLT0071,MailerSend,Email,Email API,United Kingdom,2023-11-29,True
CLT0071,MailerSend,Verification,2FA SMS,United Kingdom,2023-12-07,True
CLT0072,MailerSend,SMS,A2P SMS,Portugal,2025-12-24,True
CLT0072,MailerSend,Email,Marketing Email,Portugal,2025-12-07,True
CLT0073,MailerSend,Email,Email API,Singapore,2026-02-22,False
CLT0073,MailerSend,SMS,P2P SMS,Japan,2026-02-25,False
CLT0074,MailerSend,SMS,P2P SMS,Ireland,2025-09-11,True
CLT0075,Sinch Engage,Verification,Flash Call Verification,Ireland,2024-10-25,False
CLT0075,Sinch Engage,SMS,SMS API,Ireland,2024-11-01,False
CLT0076,MessageMedia,Verification,Flash Call Verification,Germany,2024-09-27,False
CLT0076,MessageMedia,SMS,A2P SMS,Germany,2024-09-30,False
CLT0076,MessageMedia,Voice,Voice API,Austria,2024-08-22,False
CLT0077,MessageMedia,Verification,Data Verification,Canada,2025-07-12,True
CLT0077,MessageMedia,SMS,SMS API,United States,2025-06-12,True
CLT0078,MailerSend,Voice,Voice API,Singapore,2025-03-10,True
CLT0078,MailerSend,Verification,Flash Call Verification,Japan,2025-01-28,True
CLT0079,MessageMedia,Verification,Data Verification,Brazil,2025-09-06,True
CLT0079,MessageMedia,SMS,A2P SMS,Brazil,2025-08-13,True
CLT0080,MailerSend,SMS,A2P SMS,India,2026-02-07,False
CLT0080,MailerSend,Voice,SIP Trunking,Australia,2026-02-22,False
CLT0081,MessageMedia,WhatsApp Business,WhatsApp API,Canada,2022-12-19,True
CLT0081,MessageMedia,Voice,SIP Trunking,United States,2022-11-26,True
CLT0081,MessageMedia,Verification,2FA SMS,United States,2022-12-14,True
CLT0081,MessageMedia,SMS,P2P SMS,Canada,2022-12-31,True
CLT0082,MessageMedia,Verification,2FA SMS,Mexico,2023-10-07,True
CLT0082,MessageMedia,Voice,SIP Trunking,Argentina,2023-09-20,True
CLT0082,MessageMedia,SMS,P2P SMS,Brazil,2023-08-24,True
CLT0083,MailerSend,SMS,SMS API,United Kingdom,2025-12-06,True
CLT0083,MailerSend,Verification,Flash Call Verification,Ireland,2026-01-01,True
CLT0084,Sinch Core,Email,Marketing Email,Italy,2025-07-13,True
CLT0084,Sinch Core,SMS,P2P SMS,France,2025-08-08,True
CLT0085,MailerSend,Email,Email API,Australia,2024-01-04,True
CLT0085,MailerSend,Voice,Contact Center Voice,Japan,2023-12-19,True
CLT0085,MailerSend,WhatsApp Business,WhatsApp Business Platform,India,2024-01-11,True
CLT0086,MessageMedia,Verification,Data Verification,Italy,2024-10-05,True
CLT0086,MessageMedia,SMS,P2P SMS,Spain,2024-09-18,True
CLT0086,MessageMedia,Voice,SIP Trunking,France,2024-08-14,True
CLT0087,Sinch Engage,Voice,Voice API,Mexico,2022-05-31,True
CLT0087,Sinch Engage,SMS,P2P SMS,Colombia,2022-06-15,True
CLT0087,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Brazil,2022-06-05,True
CLT0087,Sinch Engage,Verification,Flash Call Verification,Brazil,2022-05-31,True
CLT0088,MessageMedia,SMS,SMS API,Canada,2025-10-11,False
CLT0088,MessageMedia,Verification,Data Verification,United States,2025-10-10,False
CLT0089,Sinch Engage,Verification,Data Verification,Austria,2026-05-01,False
CLT0090,Sinch Core,SMS,P2P SMS,Brazil,2024-11-27,False
CLT0090,Sinch Core,Voice,Voice API,Mexico,2024-11-30,False
CLT0090,Sinch Core,WhatsApp Business,WhatsApp Business Platform,Mexico,2024-11-21,False
CLT0091,MailerSend,Voice,Contact Center Voice,Denmark,2025-01-21,False
CLT0092,MailerSend,SMS,SMS API,Japan,2021-10-13,True
CLT0092,MailerSend,Voice,Contact Center Voice,India,2021-10-15,True
CLT0093,MailerSend,SMS,P2P SMS,Italy,2025-05-15,True
CLT0093,MailerSend,Email,Marketing Email,France,2025-06-28,True
CLT0094,Sinch Core,WhatsApp Business,WhatsApp Business Platform,Finland,2023-10-07,True
CLT0094,Sinch Core,Verification,Flash Call Verification,Norway,2023-08-19,True
CLT0094,Sinch Core,SMS,A2P SMS,Sweden,2023-08-19,True
CLT0095,MailerSend,WhatsApp Business,WhatsApp API,Mexico,2024-02-29,True
CLT0095,MailerSend,Verification,2FA SMS,Argentina,2024-02-20,True
CLT0095,MailerSend,SMS,SMS API,Mexico,2024-02-29,True
CLT0095,MailerSend,Voice,Voice API,Mexico,2024-02-22,True
CLT0096,MessageMedia,SMS,A2P SMS,Argentina,2025-07-24,True
CLT0096,MessageMedia,Verification,Flash Call Verification,Argentina,2025-07-17,True
CLT0097,Sinch Engage,Voice,Contact Center Voice,Japan,2025-08-25,True
CLT0098,Sinch Core,SMS,P2P SMS,Austria,2024-01-08,True
CLT0098,Sinch Core,Verification,2FA SMS,Germany,2023-12-09,True
CLT0098,Sinch Core,WhatsApp Business,WhatsApp Business Platform,Switzerland,2023-12-01,True
CLT0099,Sinch Core,WhatsApp Business,WhatsApp Business Platform,United States,2024-08-23,True
CLT0100,Sinch Engage,SMS,A2P SMS,Portugal,2024-10-03,True
CLT0100,Sinch Engage,WhatsApp Business,WhatsApp API,Portugal,2024-10-19,True
CLT0101,Sinch Core,Voice,Voice API,Austria,2024-10-17,True
CLT0101,Sinch Core,Verification,Data Verification,Switzerland,2024-11-16,True
CLT0102,MailerSend,Verification,Data Verification,France,2025-06-12,True
CLT0102,MailerSend,SMS,A2P SMS,Spain,2025-07-03,True
CLT0103,MailerSend,WhatsApp Business,WhatsApp Business Platform,United Kingdom,2021-11-19,True
CLT0103,MailerSend,Verification,2FA SMS,Ireland,2021-12-11,True
CLT0104,Sinch Engage,SMS,A2P SMS,Sweden,2025-02-12,False
CLT0104,Sinch Engage,Email,Email API,Denmark,2025-03-30,False
CLT0105,Sinch Engage,SMS,A2P SMS,Canada,2021-08-24,True
CLT0105,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Canada,2021-08-20,True
CLT0105,Sinch Engage,Email,Transactional Email,United States,2021-08-09,True
CLT0106,Sinch Engage,SMS,P2P SMS,Austria,2021-07-12,True
CLT0106,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Austria,2021-06-27,True
CLT0106,Sinch Engage,Email,Marketing Email,Germany,2021-06-03,True
CLT0107,MailerSend,SMS,A2P SMS,Switzerland,2024-09-07,True
CLT0107,MailerSend,Email,Email API,Austria,2024-08-22,True
CLT0107,MailerSend,Verification,2FA SMS,Germany,2024-09-30,True
CLT0108,Sinch Core,Email,Transactional Email,Denmark,2024-12-11,True
CLT0108,Sinch Core,WhatsApp Business,WhatsApp API,Finland,2024-11-26,True
CLT0109,MailerSend,WhatsApp Business,WhatsApp Business Platform,Switzerland,2023-05-29,True
CLT0109,MailerSend,Voice,Contact Center Voice,Austria,2023-05-20,True
CLT0109,MailerSend,Email,Marketing Email,Switzerland,2023-06-13,True
CLT0110,Sinch Engage,WhatsApp Business,WhatsApp API,France,2024-07-31,True
CLT0110,Sinch Engage,Email,Transactional Email,Italy,2024-06-21,True
CLT0111,MailerSend,SMS,SMS API,Norway,2025-05-13,True
CLT0111,MailerSend,Verification,Data Verification,Norway,2025-07-09,True
CLT0112,Sinch Engage,Voice,Contact Center Voice,Ireland,2023-05-15,True
CLT0112,Sinch Engage,Verification,2FA SMS,United Kingdom,2023-05-03,True
CLT0112,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,United Kingdom,2023-04-28,True
CLT0112,Sinch Engage,SMS,P2P SMS,United Kingdom,2023-05-12,True
CLT0113,MessageMedia,SMS,SMS API,Ireland,2025-10-25,True
CLT0113,MessageMedia,Voice,SIP Trunking,Ireland,2025-10-27,True
CLT0114,Sinch Core,Voice,Contact Center Voice,Argentina,2024-05-06,True
CLT0114,Sinch Core,Verification,Flash Call Verification,Mexico,2024-04-15,True
CLT0115,MessageMedia,Verification,Flash Call Verification,United Kingdom,2023-07-29,True
CLT0115,MessageMedia,Voice,Contact Center Voice,Ireland,2023-09-14,True
CLT0115,MessageMedia,WhatsApp Business,WhatsApp API,Ireland,2023-08-24,True
CLT0116,MailerSend,Voice,Voice API,Italy,2022-03-03,True
CLT0116,MailerSend,SMS,A2P SMS,Portugal,2022-04-02,True
CLT0116,MailerSend,WhatsApp Business,WhatsApp Business Platform,Italy,2022-03-16,True
CLT0117,Sinch Core,SMS,SMS API,Denmark,2023-12-26,True
CLT0117,Sinch Core,Voice,Contact Center Voice,Norway,2024-01-08,True
CLT0118,Sinch Core,SMS,P2P SMS,Mexico,2025-02-07,True
CLT0118,Sinch Core,Verification,Flash Call Verification,Argentina,2025-02-11,True
CLT0119,MessageMedia,SMS,A2P SMS,Finland,2023-08-31,True
CLT0119,MessageMedia,Email,Marketing Email,Norway,2023-09-09,True
CLT0119,MessageMedia,Voice,SIP Trunking,Finland,2023-09-08,True
CLT0120,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,Norway,2024-09-29,True
CLT0120,Sinch Engage,Email,Email API,Norway,2024-09-29,True
CLT0121,Sinch Core,Email,Marketing Email,Canada,2024-09-13,True
CLT0121,Sinch Core,SMS,A2P SMS,Canada,2024-08-15,True
CLT0121,Sinch Core,WhatsApp Business,WhatsApp Business Platform,United States,2024-10-03,True
CLT0122,Sinch Engage,SMS,P2P SMS,United Kingdom,2023-08-13,True
CLT0122,Sinch Engage,Voice,Contact Center Voice,United Kingdom,2023-09-14,True
CLT0122,Sinch Engage,WhatsApp Business,WhatsApp API,Ireland,2023-08-17,True
CLT0122,Sinch Engage,Email,Marketing Email,Ireland,2023-09-12,True
CLT0123,MessageMedia,SMS,P2P SMS,Australia,2024-11-25,True
CLT0123,MessageMedia,Email,Email API,Australia,2024-12-10,True
CLT0123,MessageMedia,WhatsApp Business,WhatsApp Business Platform,Japan,2024-11-30,True
CLT0124,MessageMedia,Verification,2FA SMS,Ireland,2025-12-10,False
CLT0124,MessageMedia,SMS,P2P SMS,Ireland,2025-11-29,False
CLT0125,MessageMedia,Voice,Voice API,Brazil,2022-07-14,True
CLT0125,MessageMedia,SMS,SMS API,Colombia,2022-06-17,True
CLT0125,MessageMedia,Verification,Data Verification,Argentina,2022-07-19,True
CLT0125,MessageMedia,Email,Email API,Brazil,2022-07-24,True
CLT0126,Sinch Engage,Email,Transactional Email,Ireland,2025-10-27,True
CLT0126,Sinch Engage,SMS,P2P SMS,Ireland,2025-09-23,True
CLT0127,MailerSend,SMS,SMS API,Portugal,2023-12-04,False
CLT0127,MailerSend,Email,Marketing Email,Italy,2024-01-11,False
CLT0127,MailerSend,Verification,2FA SMS,Italy,2024-01-16,False
CLT0127,MailerSend,Voice,Voice API,Spain,2023-11-25,False
CLT0128,MessageMedia,WhatsApp Business,WhatsApp API,United States,2023-12-06,True
CLT0128,MessageMedia,Voice,SIP Trunking,United States,2023-11-24,True
CLT0128,MessageMedia,Verification,2FA SMS,Canada,2023-12-28,True
CLT0129,MessageMedia,Verification,Flash Call Verification,Spain,2025-11-05,True
CLT0129,MessageMedia,SMS,A2P SMS,Italy,2025-09-10,True
CLT0130,Sinch Engage,SMS,P2P SMS,Australia,2025-11-06,False
CLT0130,Sinch Engage,Email,Marketing Email,Japan,2025-10-30,False
CLT0131,MessageMedia,SMS,A2P SMS,Germany,2022-08-03,True
CLT0131,MessageMedia,Email,Transactional Email,Switzerland,2022-07-15,True
CLT0131,MessageMedia,Voice,SIP Trunking,Austria,2022-07-29,True
CLT0132,MailerSend,Voice,SIP Trunking,India,2023-12-15,True
CLT0132,MailerSend,WhatsApp Business,WhatsApp API,Australia,2023-12-02,True
CLT0132,MailerSend,Email,Email API,India,2024-01-15,True
CLT0132,MailerSend,SMS,SMS API,Australia,2023-12-27,True
CLT0133,Sinch Core,SMS,P2P SMS,Austria,2026-01-28,True
CLT0133,Sinch Core,Voice,Contact Center Voice,Switzerland,2025-12-06,True
CLT0134,Sinch Engage,SMS,A2P SMS,Ireland,2023-08-09,True
CLT0134,Sinch Engage,Voice,Contact Center Voice,Ireland,2023-08-07,True
CLT0134,Sinch Engage,WhatsApp Business,WhatsApp Business Platform,United Kingdom,2023-07-22,True
CLT0135,Sinch Engage,Voice,Contact Center Voice,Ireland,2024-08-19,True
CLT0135,Sinch Engage,SMS,A2P SMS,Ireland,2024-08-17,True
CLT0135,Sinch Engage,Verification,Data Verification,Ireland,2024-08-28,True
CLT0136,Sinch Core,SMS,P2P SMS,Norway,2025-11-15,False
CLT0136,Sinch Core,Verification,Data Verification,Denmark,2025-12-23,False
CLT0137,Sinch Engage,SMS,A2P SMS,United States,2024-09-01,False
CLT0137,Sinch Engage,Verification,2FA SMS,Canada,2024-08-05,False
CLT0138,MessageMedia,SMS,A2P SMS,Australia,2023-06-07,True
CLT0138,MessageMedia,Email,Transactional Email,Singapore,2023-05-29,True
CLT0139,MessageMedia,WhatsApp Business,WhatsApp API,Austria,2024-02-24,True
CLT0139,MessageMedia,Voice,Voice API,Germany,2024-02-06,True
CLT0139,MessageMedia,SMS,A2P SMS,Germany,2024-02-10,True
CLT0140,MessageMedia,SMS,P2P SMS,Singapore,2025-10-17,True
CLT0140,MessageMedia,Verification,2FA SMS,Singapore,2025-10-18,True
CLT0141,MailerSend,SMS,P2P SMS,Portugal,2022-09-02,True
CLT0141,MailerSend,WhatsApp Business,WhatsApp API,Spain,2022-10-17,True
CLT0141,MailerSend,Voice,Contact Center Voice,Spain,2022-10-21,True
CLT0142,MessageMedia,Verification,2FA SMS,Ireland,2022-03-11,True
CLT0142,MessageMedia,Email,Email API,Ireland,2022-03-29,True
CLT0142,MessageMedia,Voice,Contact Center Voice,United Kingdom,2022-03-02,True
CLT0143,Sinch Engage,SMS,P2P SMS,United States,2024-09-20,True
CLT0143,Sinch Engage,Email,Transactional Email,United States,2024-09-18,True
CLT0144,MailerSend,SMS,A2P SMS,Finland,2025-09-22,True
CLT0144,MailerSend,Verification,Flash Call Verification,Norway,2025-09-19,True
CLT0145,MessageMedia,SMS,P2P SMS,Norway,2022-08-14,False
CLT0145,MessageMedia,Voice,Voice API,Finland,2022-08-06,False
